Frequency (MHz),Phase Difference (degrees)
1.2508800000000002,-131.46452153412392
1.25184,-131.26811460140559
1.2528,-131.04366083261647
1.25376,-130.81043634481
1.25472,-130.53851477398996
1.2556800000000001,-130.28571808822412
1.2566400000000002,-129.98592075213872
1.2576,-129.71056155423705
1.2585600000000001,-129.38266646999554
1.25952,-129.01225723094208
1.26048,-128.63906775163758
1.2614400000000001,-128.25846013413178
1.2624000000000002,-127.84092868247042
1.26336,-127.42401821654295
1.26432,-126.97564005076171
1.26528,-126.50686710438684
1.26624,-126.03015703888995
1.2672,-125.50507899441683
1.2681600000000002,-124.97951418143631
1.26912,-124.44495684247822
1.27008,-123.89330842353935
1.27104,-123.31440491069043
1.272,-122.70691248307257
1.27296,-122.08013341953784
1.2739200000000002,-121.45873100780798
1.27488,-120.80538001006956
1.27584,-120.13413676910105
1.2768,-119.43861795341142
1.27776,-118.72906249595249
1.27872,-118.02108593194285
1.2796800000000002,-117.29132301586097
1.28064,-116.53471573367113
1.2816,-115.76964773362909
1.2825600000000001,-114.98514391542122
1.28352,-114.18408172532251
1.28448,-113.39127088325078
1.2854400000000001,-112.57558271862594
1.2864,-111.72576390226985
1.28736,-110.88330271063589
1.2883200000000001,-110.03556451365732
1.28928,-109.1759790388082
1.29024,-108.29470265382602
1.2912000000000001,-107.41214012186401
1.29216,-106.51859710173538
1.29312,-105.62758688185079
1.2940800000000001,-104.72844188523983
1.29504,-103.82451223393579
1.296,-102.91941627114322
1.2969600000000001,-102.01249771476976
1.29792,-101.12058375366404
1.29888,-100.21217735323621
1.29984,-99.29389770407506
1.3008,-98.38251705045352
1.30176,-97.50410052842616
1.30272,-96.58539914062582
1.3036800000000002,-95.68608941237567
1.30464,-94.79977767043702
1.3056,-93.92038579069076
1.3065600000000002,-93.04380504346601
1.30752,-92.20431036388148
1.30848,-91.32576101084656
1.3094400000000002,-90.47674480312598
1.3104,-89.64146564945206
1.31136,-88.81244380053258
1.3123200000000002,-87.998259920846
1.31328,-87.20161443994999
1.31424,-86.41400735202411
1.3152000000000001,-85.64043260741008
1.31616,-84.87544768256095
1.31712,-84.13168722369706
1.3180800000000001,-83.39097491629921
1.31904,-82.67585473269116
1.32,-81.97611143055548
1.3209600000000001,-81.2819718581876
1.32192,-80.68656277980192
1.32288,-79.92002316681213
1.3238400000000001,-79.342686427163
1.3248,-78.69822166074347
1.32576,-78.10187056176707
1.3267200000000001,-77.53179944612081
1.32768,-76.96246513472353
1.32864,-76.41443355775901
1.3296000000000001,-75.87827010799015
1.3305600000000002,-75.36292372302628
1.33152,-74.87756014318067
1.33248,-74.40332672685197
1.33344,-73.94860237121885
1.3344,-73.53172024318707
1.33536,-73.11019980745812
1.3363200000000002,-72.69697125041938
1.33728,-72.35128996933206
1.33824,-72.00432550984574
1.3392,-71.67741634610496
1.34016,-71.37249117070888
1.34112,-71.0943901295344
1.3420800000000002,-70.8309392198665
1.34304,-70.58592589709016
1.344,-70.37597863658583
1.34496,-70.18187490433203
1.34592,-70.01464530607285
1.34688,-69.86345129826012
1.3478400000000001,-69.7363583291034
1.3488,-69.62499003405226
1.34976,-69.53962702074558
1.35072,-69.46991620127494
1.35168,-69.4219068122244
1.35264,-69.38049262063535
1.3536000000000001,-69.36322371784632
1.3545600000000002,-69.41286213651107
1.35552,-69.45358679462178
1.35648,-69.59902045030432
1.35744,-69.64214416396405
1.3584,-69.70795519014884
1.3593600000000001,-69.77364805698555
1.3603200000000002,-69.8794673005473
1.36128,-69.99798024973168
1.3622400000000001,-70.1295483396386
1.3632,-70.260114626899
1.36416,-70.42469516684213
1.3651200000000001,-70.5681334917934
1.3660800000000002,-70.73778189581952
1.36704,-70.92022625598347
1.368,-71.1129613778855
1.36896,-71.31611482759851
1.36992,-71.52617449596076
1.37088,-71.7783429182812
1.3718400000000002,-71.98814269876584
1.3728,-72.21543357532065
1.37376,-72.44109936688332
1.37472,-72.69483954522393
1.37568,-72.94826708721486
1.37664,-73.20103664087061
1.3776000000000002,-73.4547689568198
1.3785600000000002,-73.70735449238684
1.37952,-73.96137408923877
1.38048,-74.22204086302874
1.38144,-74.47445992837481
1.3824,-74.72227183261018
1.3833600000000001,-74.98029015572254
1.3843200000000002,-75.2179539727523
1.38528,-75.4579438657212
1.38624,-75.6976696906011
1.3872,-75.92700263509751
1.38816,-76.15346373182686
1.3891200000000001,-76.38202678150793
1.3900800000000002,-76.59564249258904
1.39104,-76.79696876298775
1.392,-76.99475656982528
1.39296,-77.18893728375187
1.39392,-77.38242229338238
1.3948800000000001,-77.5568869964845
1.3958400000000002,-77.72268718647172
1.3968,-77.87411698476183
1.39776,-78.01970944735086
1.39872,-78.161334998089
1.39968,-78.30548112003386
1.40064,-78.44975404696675
1.4016000000000002,-78.60820409634995
1.40256,-78.69529583339187
1.4035199999999999,-78.7672861620338
1.40448,-78.84571053457113
1.40544,-78.9193042498006
1.4064,-78.98850892483108
1.4073600000000002,-79.04270260701311
1.4083200000000002,-79.09438029605369
1.4092799999999999,-79.14477840576605
1.41024,-79.17820261955356
1.4112,-79.21875443843736
1.41216,-79.24731779401368
1.4131200000000002,-79.27406008952396
1.4140800000000002,-79.29761716572153
1.4150399999999999,-79.31719296071888
1.416,-79.3294031984579
1.41696,-79.34755783729995
1.41792,-79.35819380372287
1.4188800000000001,-79.38450899085979
1.4198400000000002,-79.39923394681709
1.4208,-79.4185844504314
1.42176,-79.44619426071617
1.42272,-79.46192725697504
1.42368,-79.49157447356922
1.4246400000000001,-79.52271878229547
1.4256000000000002,-79.54638047386167
1.42656,-79.59076726502721
1.42752,-79.63073028902855
1.42848,-79.68772224253983
1.42944,-79.73039432860351
1.4304000000000001,-79.78015827953651
1.4313600000000002,-79.84192777037495
1.4323200000000003,-79.9173852358184
1.4332799999999999,-79.98212099446667
1.43424,-80.0658304463124
1.4352,-80.16364820321706
1.43616,-80.24854750694432
1.4371200000000002,-80.34808835976389
1.4380800000000002,-80.43932779140401
1.4390399999999999,-80.58381881304446
1.44,-80.67987744713571
1.44096,-80.84540622970394
1.44192,-80.96302715509805
1.4428800000000002,-81.09791918649405
1.4438400000000002,-81.20739188173738
1.4447999999999999,-81.34933066775838
1.44576,-81.51403478416985
1.44672,-81.66632436994864
1.44768,-81.8356939586897
1.4486400000000001,-82.00016496880687
1.4496000000000002,-82.15846023761262
1.4505599999999998,-82.3376379750594
1.45152,-82.51678504410802
1.45248,-82.70651886944512
1.45344,-82.89477173527551
1.4544000000000001,-83.08704049654317
1.4553600000000002,-83.2810477491816
1.45632,-83.47905091057396
1.45728,-83.68478697758519
1.45824,-83.88681370556058
1.4592,-84.09214490601721
1.4601600000000001,-84.30074224171797
1.4611200000000002,-84.50513239685338
1.46208,-84.71899069650587
1.46304,-84.92510025834102
1.464,-85.13475570949586
1.46496,-85.34263468989812
1.4659200000000001,-85.54842006858173
1.4668800000000002,-85.74617658363694
1.4678400000000003,-85.95128675967284
1.4687999999999999,-86.14809549221907
1.46976,-86.34357327539257
1.47072,-86.5207537735674
1.47168,-86.7091470797664
1.4726400000000002,-86.88209419396836
1.4736000000000002,-87.04406618330552
1.4745599999999999,-87.20958410227625
1.47552,-87.38047715376592
1.47648,-87.53736793840255
1.47744,-87.67574406755783
1.4784000000000002,-87.81639924454424
1.4793600000000002,-87.93871569166612
1.48032,-88.0618121354654
1.48128,-88.16304738125733
1.48224,-88.26695571743446
1.4832,-88.34967499575555
1.4841600000000001,-88.43854460096561
1.4851200000000002,-88.50989584793295
1.48608,-88.55731570780597
1.48704,-88.61231922473593
1.488,-88.64904281869377
1.48896,-88.69268292359037
1.4899200000000001,-88.71797360380855
1.4908800000000002,-88.72024760968252
1.49184,-88.71970481160615
1.4928,-88.71624495475015
1.49376,-88.69974209700419
1.49472,-88.67362501536708
1.4956800000000001,-88.63853849817774
1.4966400000000002,-88.59968285536034
1.4976,-88.55299737248986
1.49856,-88.49680585048661
1.49952,-88.4269431681302
1.50048,-88.33384725609285
1.50144,-88.24912150677358
1.5024000000000002,-88.16420828036674
1.50336,-88.07193903334823
1.50432,-87.98298379744422
1.50528,-87.89578411850957
1.50624,-87.79593059296789
1.5072,-87.69175769665767
1.5081600000000002,-87.58619046295895
1.50912,-87.47986826934601
1.51008,-87.37018994892483
1.51104,-87.2656153418567
1.512,-87.15429408998831
1.51296,-87.04701290435638
1.5139200000000002,-86.9399739894236
1.51488,-86.83477768307833
1.51584,-86.73081034385653
1.5168,-86.63379893905969
1.51776,-86.5402437525494
1.51872,-86.45738857512127
1.5196800000000001,-86.38294698089503
1.52064,-86.30761589573203
1.5216,-86.24750794220903
1.52256,-86.20530125782699
1.52352,-86.14567155266984
1.52448,-86.10889903449383
1.5254400000000001,-86.06395945658727
1.5264000000000002,-85.96457697419669
1.52736,-85.93601543543822
1.5283200000000001,-85.93510512309739
1.52928,-85.92982456845355
1.53024,-85.94747053135988
1.5312000000000001,-85.96887960654081
1.5321600000000002,-86.00363229315705
1.53312,-86.04546064225913
1.53408,-86.10024881462203
1.53504,-86.16280165522562
1.536,-86.24547228870357
1.53696,-86.342593115725
1.5379200000000002,-86.44622282769753
1.53888,-86.56062734609125
1.53984,-86.6945243036872
1.5408,-86.83943218405405
1.54176,-86.99899006988562
1.54272,-87.17348279496218
1.5436800000000002,-87.35342369894627
1.54464,-87.54952460653442
1.5456,-87.75392209816349
1.54656,-87.97085707988181
1.54752,-88.1971624447194
1.54848,-88.41996285410457
1.5494400000000002,-88.69628754805258
1.5504,-88.93508993757739
1.55136,-89.19124323971079
1.5523200000000001,-89.4550770247196
1.55328,-89.73018742709007
1.55424,-90.01782929369028
1.5552000000000001,-90.30049057786036
1.55616,-90.55605821089779
1.55712,-90.84531617515668
1.5580800000000001,-91.12464837028946
1.55904,-91.41803105395351
1.56,-91.70887321441782
1.5609600000000001,-91.99499201276176
1.56192,-92.26765488189996
1.56288,-92.55165818790339
1.5638400000000001,-92.8131061637053
1.5648,-93.07856423546457
1.56576,-93.33000461679471
1.5667200000000001,-93.5745034314817
1.56768,-93.81003811160326
1.56864,-94.03219134733527
1.5696,-94.2464650575188
1.57056,-94.4487412585437
1.57152,-94.6454713591294
1.57248,-94.8277632934429
1.57344,-94.99296292855877
1.5744,-95.1458161259937
1.57536,-95.28141501721831
1.5763200000000002,-95.40419687975582
1.57728,-95.51395734808631
1.57824,-95.60041048925684
1.5792,-95.67698753198286
1.58016,-95.73919460189252
1.58112,-95.78618490852503
1.5820800000000002,-95.81983762629477
1.58304,-95.83742309849966
1.584,-95.84222977838407
1.5849600000000001,-95.82544746280198
1.58592,-95.8029487181632
1.58688,-95.75892488624085
1.5878400000000001,-95.7091540908659
1.5888,-95.64107333764342
1.58976,-95.56457007225987
1.5907200000000001,-95.47264504657251
1.59168,-95.37701996979922
1.59264,-95.26480212864828
1.5936000000000001,-95.14116464435855
1.59456,-95.00829375428509
1.59552,-94.86121076400866
1.5964800000000001,-94.70906686690255
1.59744,-94.54805562328846
1.5984,-94.3762728966224
1.5993600000000001,-94.2002426202517
1.6003200000000002,-94.0144005005846
1.60128,-93.82892576692181
1.60224,-93.62912567529075
1.6032,-93.42233201652607
1.60416,-93.2160963488114
1.60512,-93.00201353625557
1.6060800000000002,-92.78423079344024
1.60704,-92.55804123185034
1.608,-92.34174791490999
1.60896,-92.11215539920912
1.60992,-91.88167193237886
1.61088,-91.64687368595308
1.6118400000000002,-91.41701416243183
1.6128,-91.17747104332473
1.61376,-90.94590787418217
1.61472,-90.70739793015134
1.61568,-90.47348070107684
1.61664,-90.23717426098854
1.6176000000000001,-90.0030521983994
1.61856,-89.7709433625336
1.61952,-89.54054176537387
1.62048,-89.32309066456789
1.62144,-89.09404362591953
1.6224,-88.87236686260484
1.6233600000000001,-88.65733569392087
1.6243200000000002,-88.46740174954984
1.62528,-88.25850976548908
1.62624,-88.04818916524826
1.6272,-87.85666730952519
1.62816,-87.6698935666021
1.6291200000000001,-87.48756960236896
1.6300800000000002,-87.31116014269455
1.63104,-87.14403922891654
1.632,-86.97723140174098
1.63296,-86.82144563852096
1.63392,-86.68005344802548
1.63488,-86.54019366320928
1.6358400000000002,-86.40960818770343
1.6368,-86.30090888987708
1.6377599999999999,-86.18433697858956
1.63872,-86.08042194332336
1.63968,-85.98022820581951
1.64064,-85.88557225517802
1.6416000000000002,-85.8031447494829
1.64256,-85.72774119538222
1.64352,-85.66538971979702
1.64448,-85.62149701062945
1.64544,-85.55232428070694
1.6464,-85.50162951523191
1.6473600000000002,-85.45990263466945
1.6483200000000002,-85.42546435047367
1.64928,-85.39523117671261
1.65024,-85.37588091661905
1.6512,-85.35426741058534
1.65216,-85.35070450345665
1.6531200000000001,-85.33935024340693
1.6540800000000002,-85.33911851504622
1.65504,-85.34159345230177
1.656,-85.33858904724192
1.65696,-85.34621588163641
1.65792,-85.35859913938269
1.6588800000000001,-85.36682625464987
1.6598400000000002,-85.3805715671506
1.6608,-85.39613236824493
1.66176,-85.41136768474625
1.66272,-85.42594146162928
1.66368,-85.44736010947256
1.6646400000000001,-85.46145764452758
1.6656000000000002,-85.4823261961449
1.66656,-85.498329338534
1.66752,-85.5157179970398
1.66848,-85.53300160530745
1.66944,-85.54657202177914
1.6704,-85.56198601915243
1.6713600000000002,-85.58010632438021
1.67232,-85.60606906149265
1.6732799999999999,-85.60682039342875
1.67424,-85.61100324098389
1.6752,-85.61650793753371
1.67616,-85.62069111259132
1.6771200000000002,-85.62581160615632
1.6780800000000002,-85.62664759270695
1.6790399999999999,-85.62093726332466
1.68,-85.61897314706088
1.68096,-85.61700146061922
1.68192,-85.60772287950157
1.6828800000000002,-85.59669333091585
1.6838400000000002,-85.58442915212126
1.6847999999999999,-85.56352183150594
1.68576,-85.55255211592592
1.68672,-85.52765324567005
1.68768,-85.51588674776511
1.6886400000000001,-85.48986704070668
1.6896000000000002,-85.47545616016184
1.6905599999999998,-85.44757534749483
1.69152,-85.41659466734806
1.69248,-85.3804183019723
1.69344,-85.34069246583681
1.6944000000000001,-85.31007067179044
1.6953600000000002,-85.27542698590662
1.6963199999999998,-85.24917838731665
1.69728,-85.2088037378845
1.69824,-85.16867475193995
1.6992,-85.12825012301414
1.7001600000000001,-85.08379315888966
1.7011200000000002,-85.04296938478647
1.7020800000000003,-84.99846334088578
1.7030399999999999,-84.95283624089889
1.704,-84.918084962613
1.70496,-84.87167990749955
1.70592,-84.83143278216468
1.7068800000000002,-84.78407523899762
1.7078400000000002,-84.73794479195384
1.7087999999999999,-84.71416260893352
1.70976,-84.69703466482822
1.71072,-84.64617444961898
1.71168,-84.60638928259795
1.7126400000000002,-84.55831725596215
1.7136000000000002,-84.51097234314463
1.7145599999999999,-84.46613031703426
1.71552,-84.41347673334256
1.71648,-84.36984614500759
1.71744,-84.32322707289133
1.7184000000000001,-84.270410538204
1.7193600000000002,-84.2315463526804
1.7203199999999998,-84.17656862692496
1.72128,-84.13150689083477
1.72224,-84.08623327621805
1.7232,-84.03860450357968
1.7241600000000001,-83.9931778208238
1.7251200000000002,-83.94809398904604
1.72608,-83.90364996258161
1.72704,-83.8566905859221
1.728,-83.80812338271568
1.72896,-83.76766443161823
1.7299200000000001,-83.72067059157499
1.7308800000000002,-83.67828788175399
1.73184,-83.63331833700322
1.7328,-83.5856732514567
1.73376,-83.54431543540915
1.73472,-83.4977453021105
1.7356800000000001,-83.45849977640064
1.7366400000000002,-83.41586836761573
1.7376,-83.37754935948635
1.7385599999999999,-83.34102618725035
1.73952,-83.30366951383478
1.74048,-83.26407553472411
1.74144,-83.22871510939034
1.7424000000000002,-83.19305122952093
1.74336,-83.15392625661521
1.7443199999999999,-83.12418271458193
1.74528,-83.09079307375251
1.74624,-83.05910245939673
1.7472,-83.02958924802661
1.7481600000000002,-83.00137715653855
1.74912,-82.97348070799744
1.75008,-82.94519766368663
1.75104,-82.91554926446476
1.752,-82.88274796294132
1.75296,-82.85924867291206
1.7539200000000001,-82.8322541522865
1.7548800000000002,-82.8108186451615
1.75584,-82.76751699017224
1.7568,-82.75287974162042
1.75776,-82.73194859104179
1.75872,-82.74100163663125
1.7596800000000001,-82.64089838757464
1.7606400000000002,-82.65679106662442
1.7616,-82.61930358815644
1.76256,-82.58893054579521
1.76352,-82.55801313322793
1.76448,-82.52650505775561
1.7654400000000001,-82.49924257651384
1.7664000000000002,-82.47042445128923
1.76736,-82.44488651467715
1.76832,-82.41344154622536
1.76928,-82.37626320116512
1.77024,-82.349025762568
1.7712,-82.34084648270192
1.7721600000000002,-82.26253268354921
1.77312,-82.22702265029818
1.77408,-82.2041680280684
1.77504,-82.17252615882163
1.776,-82.15037655909194
1.77696,-82.12397500098564
1.7779200000000002,-82.10056965347182
1.77888,-82.07958747462281
1.77984,-82.05191833760712
1.7808,-82.0302702145977
1.78176,-82.00773165167872
1.78272,-81.99054638910148
1.7836800000000002,-81.97427215419141
1.78464,-81.95864835401723
1.7856,-81.94653147737917
1.78656,-81.93305297553276
1.78752,-81.92952141645854
1.78848,-81.91764882675355
1.7894400000000001,-81.91097044836039
1.7904,-81.91205550909838
1.79136,-81.91278356855987
1.79232,-81.91587648527252
1.79328,-81.91878198212768
1.79424,-81.92162093320793
1.7952000000000001,-81.9317108615264
1.79616,-81.94025306111972
1.79712,-81.94853416037384
1.7980800000000001,-81.96323626385397
1.79904,-81.97321316444352
1.8,-81.98698552549232
1.8009600000000001,-82.00282949195476
1.80192,-82.02555987956974
1.80288,-82.04560854115248
1.80384,-82.07329622831563
1.8048,-82.09663923615858
1.80576,-82.12699600299956
1.80672,-82.15464809704575
1.80768,-82.18126117159967
1.80864,-82.21273186889292
1.8096,-82.25396743211309
1.81056,-82.2763317863663
1.81152,-82.33117465452861
1.81248,-82.3763803598808
1.8134400000000002,-82.42339549077215
1.8144,-82.46839647987873
1.81536,-82.52309740495748
1.81632,-82.5736041231482
1.81728,-82.63125664376597
1.81824,-82.68670766763786
1.8192000000000002,-82.74537579818272
1.82016,-82.8000958353137
1.82112,-82.853963979808
1.8220800000000001,-82.90920287028439
1.82304,-82.96645291682006
1.824,-83.02056580331384
1.8249600000000001,-83.0746698502762
1.82592,-83.12972897733567
1.82688,-83.18141150097462
1.8278400000000001,-83.23175126659133
1.8288,-83.28076683446005
1.82976,-83.3206792387512
1.8307200000000001,-83.35989032743065
1.83168,-83.3985801829846
1.83264,-83.43460316004204
1.8336000000000001,-83.46034517076448
1.83456,-83.48365322111988
1.83552,-83.50261056847573
1.8364800000000001,-83.51237012000698
1.83744,-83.51870788972104
1.8384,-83.52482187138105
1.83936,-83.52132593168058
1.84032,-83.51335826797205
1.84128,-83.50307631018539
1.84224,-83.48209454752327
1.8432,-83.45998486263687
1.84416,-83.42963502114505
1.84512,-83.39778541574977
1.8460800000000002,-83.3535955844661
1.84704,-83.31461347865103
1.848,-83.26848813625693
1.84896,-83.20649254079878
1.84992,-83.14885553662765
1.85088,-83.0805163841429
1.8518400000000002,-83.00597823434427
1.8528,-82.91190488643653
1.85376,-82.83302281678819
1.85472,-82.74612094738126
1.85568,-82.64743015927927
1.85664,-82.54549081988438
1.8576000000000001,-82.4343960413568
1.85856,-82.31907451213793
1.85952,-82.19876050366841
1.86048,-82.07591556588095
1.86144,-81.94562206137765
1.8624,-81.81114120973025
1.8633600000000001,-81.67099724215184
1.86432,-81.5282791110892
1.86528,-81.38396843959893
1.86624,-81.23548484368341
1.8672,-81.07951405023228
1.86816,-80.92323217718992
1.8691200000000001,-80.7656593914298
1.8700800000000002,-80.60367875136629
1.87104,-80.4453330867294
1.872,-80.28137321576698
1.87296,-80.11446885699593
1.87392,-79.9520659769644
1.87488,-79.78892076912149
1.8758400000000002,-79.62102033897155
1.8768,-79.45674527460189
1.87776,-79.30249539015249
1.87872,-79.14052164828169
1.87968,-78.98763427788577
