Frequency (MHz),Phase Difference (degrees)
1.0341600000000002,-97.96434267063877
1.0344,-98.14218135935617
1.03464,-98.49766660167172
1.03488,-98.20861586576069
1.03512,-98.49941576677634
1.03536,-98.55414373014125
1.0356,-99.03025966293184
1.03584,-99.13178431893834
1.0360800000000001,-99.06046124339238
1.0363200000000001,-99.58317910953107
1.0365600000000001,-99.9589127577983
1.0368000000000002,-100.16224401180139
1.03704,-100.4204159207294
1.03728,-100.17112025193589
1.03752,-100.28663012288798
1.03776,-100.2969048581371
1.038,-101.3036912781373
1.03824,-100.83039194029827
1.03848,-101.23982232594757
1.03872,-101.81735516374484
1.03896,-101.29542339500743
1.0392000000000001,-101.57749406047904
1.0394400000000001,-101.88346325136952
1.0396800000000002,-102.04814009738149
1.0399200000000002,-102.37466717386195
1.04016,-102.61541923852408
1.0404,-102.28703986173204
1.04064,-102.7237234720767
1.04088,-102.70791014559386
1.04112,-102.9711719371139
1.04136,-103.68049995604633
1.0416,-103.26509701677801
1.04184,-103.79242067722629
1.0420800000000001,-103.6706008679566
1.0423200000000001,-103.71437923006381
1.0425600000000002,-103.97985909696125
1.0428000000000002,-104.26912076298352
1.04304,-104.47527809570357
1.04328,-104.74221071390119
1.04352,-104.74837294372112
1.04376,-105.57654890419322
1.044,-105.48628835861376
1.04424,-105.88572250488383
1.04448,-105.76094715053216
1.04472,-105.97820837855424
1.04496,-105.49027702357107
1.0452000000000001,-106.1976360359234
1.0454400000000001,-106.59488542769031
1.0456800000000002,-106.6349715332756
1.0459200000000002,-106.5828638728242
1.04616,-106.69289724675171
1.0464,-107.5394691610304
1.04664,-107.13443725459722
1.04688,-107.49762409883554
1.04712,-107.41363543673202
1.04736,-107.8425200832404
1.0476,-108.13929485929559
1.04784,-108.44169952330938
1.0480800000000001,-108.4349414921428
1.0483200000000001,-108.37444025147151
1.0485600000000002,-108.68998996320234
1.0488000000000002,-109.38114304262568
1.04904,-109.35660050439118
1.04928,-109.33435082970682
1.04952,-109.52484834970812
1.04976,-109.54629331827834
1.05,-109.72091763892341
1.05024,-109.66025940124362
1.05048,-110.29033389337431
1.05072,-109.95539073681317
1.0509600000000001,-110.75572634181016
1.0512000000000001,-110.84575341346101
1.0514400000000002,-110.60204490298672
1.0516800000000002,-111.10294528523633
1.05192,-110.94386257769604
1.05216,-110.75762015203931
1.0524,-111.33736219530803
1.05264,-111.18507812244096
1.05288,-111.50837570349222
1.05312,-112.18045046218388
1.05336,-112.45406678999859
1.0536,-112.04793282310118
1.05384,-112.28672092262026
1.0540800000000001,-112.24653887747353
1.0543200000000001,-112.33365200264697
1.0545600000000002,-112.73567070708243
1.0548000000000002,-112.82408921767025
1.05504,-113.09591436570555
1.05528,-113.11521233249736
1.05552,-113.32036564176431
1.05576,-113.74145793000304
1.056,-113.71865511695755
1.05624,-113.85657315218538
1.05648,-113.73166121093469
1.05672,-114.1415896807758
1.0569600000000001,-113.84282821546954
1.0572000000000001,-114.02696604230536
1.0574400000000002,-114.49374610381398
1.05768,-114.4401993168382
1.05792,-114.50035568936215
1.05816,-114.92459253681452
1.0584,-115.13266060342745
1.05864,-115.22170706522711
1.05888,-115.2123877859399
1.05912,-115.41178964492214
1.05936,-115.46822917045245
1.0596,-115.21519377320837
1.0598400000000001,-115.47819991804049
1.0600800000000001,-115.61441467244967
1.0603200000000002,-115.81415610806728
1.0605600000000002,-115.86999998769046
1.0608000000000002,-116.13819371513966
1.06104,-115.88377945095505
1.06128,-116.24049954739714
1.06152,-116.29914864183517
1.06176,-116.48050971889191
1.062,-116.34176014874393
1.06224,-116.87566949580184
1.06248,-116.83286009884601
1.06272,-116.95780520694946
1.0629600000000001,-116.78616648618431
1.0632000000000001,-116.97278729267897
1.0634400000000002,-117.10220901591522
1.06368,-117.33374866077486
1.06392,-117.3347405634809
1.06416,-117.556240077359
1.0644,-117.63459632740683
1.06464,-117.52066198929518
1.06488,-117.72112646572587
1.06512,-117.91605487059104
1.06536,-117.7270147895252
1.0656,-117.99445339146288
1.0658400000000001,-117.84391635147182
1.0660800000000001,-118.2922111999039
1.0663200000000002,-118.44350476441863
1.0665600000000002,-118.49939455037295
1.0668000000000002,-118.57591722504125
1.06704,-118.61398538691724
1.06728,-118.57755098320892
1.06752,-118.6981411419808
1.06776,-118.72986847018117
1.068,-118.73286245625046
1.06824,-119.06415787912994
1.06848,-119.07874779208043
1.0687200000000001,-119.18180299882569
1.0689600000000001,-119.15419251174573
1.0692000000000002,-119.51114833945387
1.06944,-119.33756425254738
1.06968,-119.52253749331528
1.06992,-119.49835288425923
1.07016,-119.59102208147631
1.0704,-119.54196014382693
1.07064,-119.85266305785436
1.07088,-119.76138668446548
1.07112,-119.7622209986758
1.07136,-120.02373570444398
1.0716,-119.81679293584078
1.0718400000000001,-120.10362783277844
1.0720800000000001,-120.05013720676399
1.0723200000000002,-120.16624530429931
1.0725600000000002,-120.3467335851067
1.0728000000000002,-120.33401588667407
1.07304,-120.44562967230777
1.07328,-120.41078085892947
1.07352,-120.54070628790244
1.07376,-120.72205206032729
1.074,-120.61042281182904
1.07424,-120.77358904452221
1.07448,-120.77224750542999
1.0747200000000001,-120.87257436361436
1.0749600000000001,-120.95297979632554
1.0752000000000002,-120.94891840758038
1.07544,-121.02259987687661
1.07568,-121.15954720278798
1.07592,-121.11995474880281
1.07616,-121.18535624864309
1.0764,-121.11224577012592
1.07664,-121.41684904637107
1.07688,-121.40904851941792
1.07712,-121.49102474619207
1.07736,-121.54301450080106
1.0776000000000001,-121.60136820021326
1.0778400000000001,-121.5975257783183
1.0780800000000001,-121.74050084416209
1.0783200000000002,-121.80821157866849
1.0785600000000002,-121.85308923700693
1.0788000000000002,-121.87020307524446
1.07904,-121.97145620757564
1.07928,-122.14363511414386
1.07952,-122.13009490926848
1.07976,-122.20820196432601
1.08,-122.19994321404238
1.08024,-122.24375949704095
1.08048,-122.34995030975483
1.0807200000000001,-122.29121858174804
1.0809600000000001,-122.52044368435271
1.0812,-122.42077466536354
1.08144,-122.59576304343658
1.08168,-122.63146278525952
1.08192,-122.66736460516721
1.08216,-122.75662883090538
1.0824,-122.77084009409407
1.08264,-122.86590628547044
1.08288,-123.03431923821472
1.08312,-122.7768181862785
1.08336,-123.00101057662675
1.0836000000000001,-123.04622587570766
1.0838400000000001,-123.02012487653276
1.0840800000000002,-123.2952840181162
1.0843200000000002,-123.19763478763865
1.0845600000000002,-123.33613485509854
1.0848000000000002,-123.5907192751635
1.08504,-123.4663281894993
1.08528,-123.50219406943324
1.08552,-123.4668322938139
1.08576,-123.61171367569462
1.086,-123.60276172872355
1.08624,-123.69948292094597
1.0864800000000001,-123.82479340751648
1.0867200000000001,-123.86167850438363
1.08696,-123.93235579917237
1.0872,-123.9879449904004
1.08744,-123.96827841162575
1.08768,-124.08565227596833
1.08792,-124.12500412878622
1.08816,-124.10412041571207
1.0884,-124.23580370426178
1.08864,-124.2926435579678
1.08888,-124.36805121314981
1.08912,-124.4564395905155
1.08936,-124.42717294502265
1.0896000000000001,-124.5574152360223
1.0898400000000001,-124.6575937269432
1.0900800000000002,-124.79722762447629
1.0903200000000002,-124.71659324280712
1.0905600000000002,-124.77351095922256
1.0908000000000002,-124.90091069886053
1.09104,-124.88513106405334
1.09128,-124.97645318742816
1.09152,-125.05166095359523
1.09176,-125.03008497087741
1.092,-125.17589372518361
1.09224,-125.10756387894523
1.0924800000000001,-125.25837404729953
1.0927200000000001,-125.31062802345194
1.09296,-125.47224090920905
1.0932,-125.40285916672956
1.09344,-125.57201120247072
1.09368,-125.51723921249587
1.09392,-125.56756349218665
1.09416,-125.64413727654139
1.0944,-125.72212073304354
1.09464,-125.85140485003409
1.09488,-125.82521750637744
1.09512,-125.8806954630197
1.0953600000000001,-125.97838843613962
1.0956000000000001,-126.01117337597289
1.0958400000000001,-126.144039543851
1.0960800000000002,-126.11700837788973
1.0963200000000002,-126.18449380140385
1.0965600000000002,-126.23318430797963
1.0968000000000002,-126.25820927338262
1.09704,-126.32532607238542
1.09728,-126.42594634948449
1.09752,-126.42744194005031
1.09776,-126.50063716216897
1.098,-126.52173427584839
1.09824,-126.64071517355772
1.0984800000000001,-126.67125465557275
1.09872,-126.66183050716765
1.09896,-126.70730921045049
1.0992,-126.78324605506604
1.09944,-126.85855408064057
1.09968,-126.88579212485837
1.09992,-127.05920551766377
1.10016,-127.05750117819824
1.1004,-127.099618953921
1.10064,-127.2024278277559
1.10088,-127.2098586990618
1.10112,-127.29752732564518
1.1013600000000001,-127.40050699348411
1.1016000000000001,-127.43645603343943
1.1018400000000002,-127.4258391128858
1.1020800000000002,-127.52511336442151
1.1023200000000002,-127.64368944182264
1.1025600000000002,-127.64163331549862
1.1028000000000002,-127.71411231699614
1.10304,-127.75450118606739
1.10328,-127.85421276779185
1.10352,-127.91284887449734
1.10376,-127.96360999618817
1.104,-128.00316496307377
1.10424,-128.0789141621485
1.1044800000000001,-128.1332849501488
1.10472,-128.18817778714632
1.10496,-128.25120843536587
1.1052,-128.28429812386665
1.10544,-128.3616596741094
1.10568,-128.38457440873765
1.10592,-128.4472419792672
1.10616,-128.5206643967205
1.1064,-128.57540013577926
1.10664,-128.62050571448108
1.10688,-128.6721132305129
1.10712,-128.7619063070546
1.1073600000000001,-128.7880291868941
1.1076000000000001,-128.88932792131683
1.1078400000000002,-128.8586398447862
1.1080800000000002,-128.8967828758815
1.1083200000000002,-128.93855133697804
1.1085600000000002,-129.01896512696882
1.1088000000000002,-129.05724855193927
1.10904,-129.1903158165741
1.10928,-129.1979667848892
1.10952,-129.26869290845212
1.10976,-129.29621170035585
1.11,-129.41226848011647
1.1102400000000001,-129.46216229454225
1.11048,-129.5112401165798
1.11072,-129.58683341033978
1.11096,-129.55167674207428
1.1112,-129.61801601256647
1.11144,-129.6620789536807
1.11168,-129.70371365088246
1.11192,-129.7866361528938
1.11216,-129.86454377679857
1.1124,-129.97358469189763
1.11264,-129.9696527359394
1.11288,-130.0614399333863
1.11312,-130.11772392302973
1.1133600000000001,-130.1435109349049
1.1136000000000001,-130.22987107025386
1.1138400000000002,-130.3029354913036
1.1140800000000002,-130.36999010165513
1.1143200000000002,-130.45291611698025
1.1145600000000002,-130.47106288400957
1.1148000000000002,-130.47664012630105
1.11504,-130.60327818688168
1.11528,-130.73284435403735
1.11552,-130.76003631648564
1.11576,-130.71629985069615
1.116,-130.80655299014717
1.11624,-130.8730500067166
1.11648,-130.99715362191657
1.11672,-131.0293406053273
1.11696,-131.06500566853256
1.1172,-131.1110994228782
1.11744,-131.18152836253552
1.11768,-131.24911460691453
1.11792,-131.27738433365639
1.11816,-131.30575975297683
1.1184,-131.32163585592662
1.11864,-131.40827989970802
1.11888,-131.458174483825
1.1191200000000001,-131.5631855165085
1.1193600000000001,-131.5299881916962
1.1196000000000002,-131.6006483958759
1.1198400000000002,-131.61983496237895
1.1200800000000002,-131.6814886046662
1.1203200000000002,-131.71375463861096
1.1205600000000002,-131.7818747960397
1.1208000000000002,-131.79355035868738
1.12104,-131.91324615199326
1.12128,-131.91977316842153
1.12152,-131.9752025338569
1.12176,-132.01076608441463
1.122,-132.09126583169015
1.12224,-132.11346707882794
1.12248,-132.15807481962128
1.12272,-132.18792962249205
1.12296,-132.22849162792457
1.1232,-132.26107555437153
1.12344,-132.3084356560198
1.12368,-132.38468176652106
1.12392,-132.3971929605652
1.12416,-132.45814498727538
1.1244,-132.4562851157019
1.12464,-132.46040210091937
1.12488,-132.5390567200284
1.1251200000000001,-132.55085533406404
1.1253600000000001,-132.58659497141588
1.1256000000000002,-132.6302703028343
1.1258400000000002,-132.66120212532542
1.1260800000000002,-132.728028118751
1.1263200000000002,-132.733816966393
1.1265600000000002,-132.79130444865058
1.1268000000000002,-132.80870667730744
1.12704,-132.8065384003518
1.12728,-132.888601108817
1.12752,-132.95126184203286
1.12776,-133.09829777879276
1.128,-132.99585822213314
1.12824,-133.00071595480944
1.12848,-133.09841629774468
1.12872,-133.11071668549923
1.12896,-133.1020449254316
1.1292,-133.14921381680765
1.12944,-133.1539524829674
1.12968,-133.19371290163025
1.12992,-133.2300674023308
1.13016,-133.27976990035768
1.1304,-133.33031981621733
1.13064,-133.3494500420937
1.13088,-133.34824588153683
1.1311200000000001,-133.3944996719602
1.1313600000000001,-133.4348831572962
1.1316000000000002,-133.43384161810536
1.1318400000000002,-133.45668849814223
1.1320800000000002,-133.51521337760212
1.1323200000000002,-133.50062023964605
1.1325600000000002,-133.48454726326952
1.1328000000000003,-133.52716334171296
1.13304,-133.53401196519647
1.13328,-133.57598933382977
1.13352,-133.60394012098715
1.13376,-133.63146823089983
1.134,-133.65631988761874
1.13424,-133.6780880249239
1.13448,-133.68553992610768
1.13472,-133.71652072706644
1.13496,-133.69067135503397
1.1352,-133.73224503672574
1.13544,-133.7329681735933
1.13568,-119.28007126349637
1.13592,-133.7622094987831
1.13616,-133.7596831746954
1.1364,-133.76246970154233
1.13664,-133.74467374671528
1.1368800000000001,-133.8040577627258
1.1371200000000001,-133.79970376757652
1.1373600000000001,-133.79311147977145
1.1376000000000002,-133.81568282222972
1.1378400000000002,-133.81027592691063
1.1380800000000002,-133.83366881975098
1.1383200000000002,-133.82760264783968
1.1385600000000002,-133.84515313205873
1.1388000000000003,-133.84671043123436
1.13904,-133.84703703804777
1.13928,-133.87916931099494
1.13952,-133.86028432738559
1.1397599999999999,-133.89807728308645
1.14,-133.88522531289775
1.14024,-133.8863632575563
1.14048,-133.8903614385425
1.14072,-133.88019547631168
1.14096,-133.87964677685756
1.1412,-133.93102637079585
1.14144,-133.90943645353673
1.14168,-133.9022396573892
1.14192,-133.90060851597653
1.14216,-133.90340289191104
1.1424,-133.89241633312423
1.14264,-133.90930320324262
1.1428800000000001,-133.89685082531503
1.1431200000000001,-133.89577417613972
1.1433600000000002,-133.89717432015055
1.1436000000000002,-133.90494579520026
1.1438400000000002,-133.8956323538148
1.1440800000000002,-133.90694110051447
1.1443200000000002,-133.92125424113007
1.1445600000000002,-133.86323446769242
1.1448000000000003,-133.87368298036543
1.14504,-133.88012344018128
1.14528,-133.83802001515463
1.1455199999999999,-133.86788592053958
1.14576,-133.85954987727246
1.146,-133.8692970699713
1.14624,-133.84009723599874
1.14648,-133.82231709600666
1.14672,-133.82567792169237
1.14696,-133.83339946647865
1.1472,-133.80455874724268
1.14744,-133.8278876410133
1.14768,-133.81647162304154
1.14792,-133.7848090327134
1.14816,-133.78680575274862
1.1484,-133.7874573144963
1.14864,-133.78512526318406
1.1488800000000001,-133.7718403540619
1.1491200000000001,-133.7571241959443
1.1493600000000002,-133.73054690591036
1.1496000000000002,-133.72444925281422
1.1498400000000002,-133.7258775667894
1.1500800000000002,-133.72402453703262
1.1503200000000002,-133.69504834188362
1.1505600000000002,-133.71033292352143
1.1508000000000003,-133.67500719274005
1.15104,-133.68568354110764
1.15128,-133.6468077477328
1.1515199999999999,-133.6644529746845
1.15176,-133.69547104448387
1.152,-133.66822317809903
1.15224,-133.64469548111822
1.15248,-133.62322666831352
1.15272,-133.62272571145826
1.15296,-133.6053431632774
1.1532,-133.6067305904326
1.15344,-133.58110490605912
1.15368,-133.5553727088791
1.15392,-133.59469605730757
1.15416,-133.58455332356158
1.1544,-133.56197478838655
1.15464,-133.5648944091499
1.1548800000000001,-133.5369164099182
1.1551200000000001,-133.48960921824133
1.1553600000000002,-133.5407518201839
1.1556000000000002,-133.50480860818215
1.1558400000000002,-133.45232675876332
1.1560800000000002,-133.45590857183015
1.1563200000000002,-133.4342504354152
1.1565600000000003,-133.41005159474227
1.1568000000000003,-133.41348848085573
1.15704,-133.4077891005817
1.1572799999999999,-133.39504796335189
1.1575199999999999,-133.35939553385816
1.15776,-133.35629316357085
