Frequency (MHz),SRR (dB)
1.0341600000000002,2.3372719774889985
1.0344,2.329022190326046
1.03464,2.3839052747963225
1.03488,2.4049582982573146
1.03512,2.34031377823759
1.03536,2.3984238666826325
1.0356,2.357853892969395
1.03584,2.4023433022111633
1.0360800000000001,2.4845673163700046
1.0363200000000001,2.3920364621265615
1.0365600000000001,2.389053200516746
1.0368000000000002,2.377053661618234
1.03704,2.3288447203934046
1.03728,2.33318731738129
1.03752,2.3748411990377156
1.03776,2.4182866651554087
1.038,2.3476973679860906
1.03824,2.344476600576306
1.03848,2.3548443652223527
1.03872,2.3978918592587966
1.03896,2.4895941615329873
1.0392000000000001,2.4147204885769376
1.0394400000000001,2.348551755243788
1.0396800000000002,2.4892216296041902
1.0399200000000002,2.4037357608131718
1.04016,2.477520664171751
1.0404,2.372371377008147
1.04064,2.3862631048358014
1.04088,2.354369604599906
1.04112,2.3352356709695115
1.04136,2.3894341983743645
1.0416,2.3769761445147095
1.04184,2.4063254005665953
1.0420800000000001,2.422059942123405
1.0423200000000001,2.3209105888924424
1.0425600000000002,2.4630427972183115
1.0428000000000002,2.351971117963831
1.04304,2.4003117402280942
1.04328,2.362093784116113
1.04352,2.4543914679186285
1.04376,2.399855954041246
1.044,2.382428934781712
1.04424,2.397148686178744
1.04448,2.3358847142672046
1.04472,2.406277480976877
1.04496,2.3271149845343064
1.0452000000000001,2.385112972013007
1.0454400000000001,2.3783880959587806
1.0456800000000002,2.415928078121135
1.0459200000000002,2.385556512613557
1.04616,2.4179819048110405
1.0464,2.357931843956139
1.04664,2.418463211249235
1.04688,2.450024619363341
1.04712,2.412040321013244
1.04736,2.462630225295819
1.0476,2.43394978627818
1.04784,2.414948630241155
1.0480800000000001,2.432356598698212
1.0483200000000001,2.4461572742585247
1.0485600000000002,2.492964771675373
1.0488000000000002,2.4594918858856576
1.04904,2.486146985636519
1.04928,2.4976268677958884
1.04952,2.4773129068210205
1.04976,2.4039219878922955
1.05,2.448596215604081
1.05024,2.4629790924551482
1.05048,2.4859232939251026
1.05072,2.489199453676233
1.0509600000000001,2.439374909209392
1.0512000000000001,2.477331698946743
1.0514400000000002,2.4975892688533206
1.0516800000000002,2.5298415854185046
1.05192,2.518583880933071
1.05216,2.505528294344051
1.0524,2.4713845238017003
1.05264,2.4327970378771817
1.05288,2.467905119270869
1.05312,2.496308050795519
1.05336,2.498687171911981
1.0536,2.4880297284903654
1.05384,2.5508524866754816
1.0540800000000001,2.440757430934246
1.0543200000000001,2.503096156649438
1.0545600000000002,2.4608942431690393
1.0548000000000002,2.5771665918384064
1.05504,2.4784378358412313
1.05528,2.5610052152553626
1.05552,2.468100135603551
1.05576,2.532509600324441
1.056,2.502642227565822
1.05624,2.457026142733518
1.05648,2.545155452364438
1.05672,2.538184665206116
1.0569600000000001,2.5242553279649904
1.0572000000000001,2.565297627034713
1.0574400000000002,2.523092218447802
1.05768,2.5661085587556833
1.05792,2.577189963795824
1.05816,2.6163933010198637
1.0584,2.614102868502031
1.05864,2.5854503786651293
1.05888,2.6027136858531
1.05912,2.6752368155273243
1.05936,2.609332957029937
1.0596,2.5926943094424026
1.0598400000000001,2.646086411879609
1.0600800000000001,2.616290595547687
1.0603200000000002,2.582522387951558
1.0605600000000002,2.597240368350364
1.0608000000000002,2.5542217033453514
1.06104,2.6792058134547747
1.06128,2.6123762376113153
1.06152,2.644550618100809
1.06176,2.631423071866964
1.062,2.5826564188710357
1.06224,2.618665660421127
1.06248,2.6337214793791675
1.06272,2.6228057005464844
1.0629600000000001,2.657766649379819
1.0632000000000001,2.681620652872642
1.0634400000000002,2.619687368657708
1.06368,2.6228364313024755
1.06392,2.6102029632887374
1.06416,2.642477656680733
1.0644,2.658016786710876
1.06464,2.6614350318541597
1.06488,2.6618245722550227
1.06512,2.6557933393396524
1.06536,2.6367775360946895
1.0656,2.7536800534284467
1.0658400000000001,2.59043185263685
1.0660800000000001,2.66988710287096
1.0663200000000002,2.659691793841183
1.0665600000000002,2.6413107895437977
1.0668000000000002,2.670772498075679
1.06704,2.629862618552275
1.06728,2.742576451943051
1.06752,2.6688789282730836
1.06776,2.739351618065698
1.068,2.7315836383641563
1.06824,2.644466134957803
1.06848,2.6817584524203757
1.0687200000000001,2.6839741282588148
1.0689600000000001,2.6928413466041015
1.0692000000000002,2.7259407027258025
1.06944,2.7286429225440045
1.06968,2.715392858925705
1.06992,2.7247750522985044
1.07016,2.6739947963798945
1.0704,2.7206109499226745
1.07064,2.681644019366915
1.07088,2.680219906520459
1.07112,2.68626217749837
1.07136,2.705132181661453
1.0716,2.723328620064936
1.0718400000000001,2.7144894195267777
1.0720800000000001,2.676961310745705
1.0723200000000002,2.703169895842672
1.0725600000000002,2.6812760781153995
1.0728000000000002,2.7178665517390166
1.07304,2.705067535346598
1.07328,2.7278933899529307
1.07352,2.711856105638982
1.07376,2.750687914952741
1.074,2.6823837078701485
1.07424,2.708763976810185
1.07448,2.7044667966903235
1.0747200000000001,2.706525363503135
1.0749600000000001,2.6835055967110706
1.0752000000000002,2.6967531000128
1.07544,2.7072230536139203
1.07568,2.674641944274432
1.07592,2.6905119414739715
1.07616,2.752631530423285
1.0764,2.7019914199363804
1.07664,2.6922853721080635
1.07688,2.7453484102511565
1.07712,2.739478723734079
1.07736,2.708431184807261
1.0776000000000001,2.68977510908152
1.0778400000000001,2.6804470006475696
1.0780800000000001,2.7131336156830366
1.0783200000000002,2.7256473828868217
1.0785600000000002,2.700475123181232
1.0788000000000002,2.7442129239201156
1.07904,2.722776312918451
1.07928,2.723571628549642
1.07952,2.6972606546958096
1.07976,2.7415620155939053
1.08,2.704969804181527
1.08024,2.7082791628687017
1.08048,2.723719508669586
