Frequency (MHz),Phase Difference (degrees)
1.03404,-96.90467528984534
1.0341600000000002,-97.43046757378829
1.0342799999999999,-97.37990149303673
1.0344,-97.25268272668828
1.0345199999999999,-97.56698780357117
1.03464,-97.29379796151896
1.03476,-97.91014125295541
1.03488,-97.7997073084437
1.035,-98.55120528912303
1.03512,-97.81135649717177
1.03524,-98.07965860626878
1.03536,-98.67396781132578
1.03548,-98.4169435436894
1.0356,-98.54593366586285
1.03572,-98.56994816282182
1.03584,-98.71081056987602
1.03596,-98.58345074521161
1.0360800000000001,-98.39907042423951
1.0362,-98.72534627644593
1.0363200000000001,-99.18370738850184
1.03644,-98.58452548551911
1.0365600000000001,-98.5047584988012
1.03668,-99.50370041826868
1.0368000000000002,-99.02574987657836
1.03692,-99.11916598228169
1.03704,-98.37305208951756
1.03716,-98.56370409029195
1.03728,-99.29863820204503
1.0374,-98.81025578302129
1.03752,-100.21269101738797
1.0376400000000001,-99.66462480033134
1.03776,-99.50767312731543
1.0378800000000001,-99.78201229979774
1.038,-99.8587116848087
1.0381200000000002,-99.71495154746901
1.03824,-99.98291700593512
1.0383600000000002,-99.86683010829172
1.03848,-101.19343888402356
1.0386000000000002,-100.63573886849335
1.03872,-99.90867094814459
1.0388400000000002,-100.7821499108005
1.03896,-99.99547797068594
1.0390800000000002,-100.82725534571114
1.0392000000000001,-100.6308599626384
1.0393200000000002,-99.98121067107208
1.0394400000000001,-101.78674979345494
1.0395600000000003,-100.47850507322629
1.0396800000000002,-100.87905834020671
1.0398000000000003,-100.96499836107142
1.0399200000000002,-101.25747941608209
1.0400399999999999,-101.6262317722645
1.04016,-102.01774575507224
1.0402799999999999,-100.69219052646628
1.0404,-100.99533093450101
1.04052,-100.86729003831145
1.04064,-100.84553097037299
1.04076,-100.7607515273648
1.04088,-102.04057943962023
1.041,-101.20893750366903
1.04112,-102.54152815262798
1.04124,-101.02984418549633
1.04136,-102.32625814939404
1.04148,-102.26287761678262
1.0416,-101.89568702354252
1.04172,-101.8876668560376
1.04184,-102.77005593888924
1.04196,-102.46835042401894
1.0420800000000001,-100.78929142399208
1.0422,-102.52262398419124
1.0423200000000001,-101.9244912419375
1.04244,-102.45888091498846
1.0425600000000002,-103.28152124111136
1.04268,-103.02013228821582
1.0428000000000002,-102.70674078673612
1.04292,-103.31127034931184
1.04304,-102.83291518589606
1.04316,-103.67526721861705
1.04328,-103.23505828249831
1.0434,-104.32069713895568
1.04352,-103.94262766977363
1.0436400000000001,-103.42864694445969
1.04376,-103.90085188012715
1.0438800000000001,-104.05911908411171
