Frequency (MHz),SRR (dB)
1.03404,2.367186576702324
1.0345199999999999,2.373854138437263
1.035,2.3742670863590813
1.03548,2.378126805357425
1.03596,2.378362954943663
1.03644,2.3845431668733785
1.03692,2.379055259582276
1.0374,2.3680365671161336
1.0378800000000001,2.383319091653952
1.0383600000000002,2.383572323880169
1.0388400000000002,2.3899684078315104
1.0393200000000002,2.387405972879429
1.0398000000000003,2.3763093597559126
1.0402799999999999,2.3853332210423996
1.04076,2.3946718506857794
1.04124,2.4078227425084595
1.04172,2.414130985233479
1.0422,2.400643645538585
1.04268,2.4045905112897383
1.04316,2.4150018737282473
1.0436400000000001,2.4308114797470957
1.0441200000000002,2.422680593348608
1.0446000000000002,2.4319315515854334
1.0450800000000002,2.425277411285331
1.0455600000000003,2.431473829711815
1.0460399999999999,2.4387030790429014
1.04652,2.4438554792434966
1.047,2.4366573301341994
1.04748,2.444124498910529
1.04796,2.4448560859131887
1.04844,2.450877299286611
1.04892,2.460210967103092
1.0494,2.4845156098055523
1.0498800000000001,2.4733195988606003
1.0503600000000002,2.4792680370542515
1.0508400000000002,2.476707359617618
1.0513200000000003,2.4942420174534456
1.0518000000000003,2.494487826264601
1.0522799999999999,2.5102134989138625
1.05276,2.5169630547068342
1.05324,2.5230478207104037
1.05372,2.5241593176864807
1.0542,2.5250543469867486
1.05468,2.540347776001373
1.05516,2.530877716055179
1.0556400000000001,2.5647157951175665
1.0561200000000002,2.547039380061513
1.0566000000000002,2.559845668212824
1.0570800000000002,2.55426140025615
1.0575600000000003,2.5621004267026093
1.0580399999999999,2.5820874376821354
1.05852,2.585374351705765
1.059,2.582893080044442
1.05948,2.587365251856463
1.05996,2.6004474023385846
1.06044,2.6052127740065316
1.06092,2.617506572294298
1.0614000000000001,2.6196221388042265
1.0618800000000002,2.6131839499211136
1.0623600000000002,2.6326328927371128
1.0628400000000002,2.624439291926457
1.0633200000000003,2.6425288352555363
1.0638,2.6414875960725848
1.06428,2.6412310121556875
1.06476,2.64752299471211
1.06524,2.6606400021336145
1.06572,2.65968554872165
1.0662,2.6598631939490502
1.06668,2.6671084870432753
1.06716,2.66620482943247
1.0676400000000001,2.6819409699997276
1.0681200000000002,2.6840822100452244
1.0686000000000002,2.6887518733466425
1.0690800000000003,2.687124550038406
1.06956,2.6998679251496647
1.0700399999999999,2.6933280189131414
1.07052,2.6918287303774733
1.071,2.6897885772299723
1.07148,2.7061666374035798
1.07196,2.700044469413612
1.07244,2.697829702088769
1.07292,2.702208586084252
1.0734000000000001,2.710871027380674
1.0738800000000002,2.7087008220049364
1.0743600000000002,2.7058389387614676
1.0748400000000002,2.7010332772118444
1.07532,2.703398318568404
1.0758,2.7031339111562747
1.07628,2.7119664440896556
1.07676,2.7153754447553973
1.07724,2.6996085302275477
1.07772,2.7037535770759877
1.0782,2.7080787435163387
1.07868,2.701203265081753
1.0791600000000001,2.697574411087615
1.0796400000000002,2.6937444298074387
1.0801200000000002,2.6988380100253777
1.0806000000000002,2.6903972968916796
1.0810800000000003,2.6931171777421254
1.08156,2.693309032102669
1.08204,2.687510429877396
1.08252,2.682368485200008
1.083,2.6855283690094462
