Frequency (MHz),SRR (dB)
1.0341600000000002,3.008180930094219
1.0344,3.008180930094219
1.03464,3.008180930094219
1.03488,3.008180930094219
1.03512,3.008180930094219
1.03536,3.008180930094219
1.0356,3.008180930094219
1.03584,3.008180930094219
1.0360800000000001,3.008180930094219
1.0363200000000001,3.008180930094219
1.0365600000000001,3.008180930094219
1.0368000000000002,3.008180930094219
1.03704,3.008180930094219
1.03728,3.008180930094219
1.03752,3.008180930094219
1.03776,3.008180930094219
1.038,3.008180930094219
1.03824,3.008180930094219
1.03848,3.008180930094219
1.03872,3.008180930094219
1.03896,3.008180930094219
1.0392000000000001,3.008180930094219
1.0394400000000001,3.008180930094219
1.0396800000000002,3.008180930094219
1.0399200000000002,3.008180930094219
1.04016,3.008180930094219
1.0404,3.008180930094219
1.04064,3.008180930094219
1.04088,3.008180930094219
1.04112,3.008180930094219
1.04136,3.008180930094219
1.0416,3.008180930094219
1.04184,3.010299956639812
1.0420800000000001,3.008180930094219
1.0423200000000001,3.008180930094219
1.0425600000000002,3.010299956639812
1.0428000000000002,3.010299956639812
1.04304,3.010299956639812
1.04328,3.008180930094219
1.04352,3.010299956639812
1.04376,3.010299956639812
1.044,3.020879608203149
1.04424,3.0293248122625824
1.04448,3.025104263029509
1.04472,3.0377536258137843
1.04496,3.058754367020877
1.0452000000000001,3.069216778293855
1.0454400000000001,3.0733946957098848
1.0456800000000002,3.08590438698739
1.0459200000000002,3.0921457458853547
1.04616,3.1499699262763894
1.0464,3.1499699262763894
1.04664,3.1806333496276156
1.04688,3.2211840160257847
1.04712,3.2713456364932125
1.04736,3.2850279683788655
1.0476,3.4068588653366594
1.04784,3.4122813422472253
1.0480800000000001,3.48118803830951
1.0483200000000001,3.5676737801795513
1.0485600000000002,3.613964399832729
1.0488000000000002,3.729621718969704
1.04904,3.794015488508159
1.04928,3.9103479832263655
1.04952,3.96674458047778
1.04976,4.0063540588511835
1.05,4.123984397510206
1.05024,4.164234143660507
1.05048,4.252876502502223
1.05072,4.342094656662393
1.0509600000000001,4.367027924898603
1.0512000000000001,4.419517918569574
1.0514400000000002,4.477249370704898
1.0516800000000002,4.4733593582285405
1.05192,4.496079268522517
1.05216,4.541134378419423
1.0524,4.483717102370922
1.05264,4.491286756395931
1.05288,4.536854238117516
1.05312,4.512289448005537
1.05336,4.4086913565834465
1.0536,4.493499328983841
1.05384,4.4357148436638205
1.0540800000000001,4.378469574101619
1.0543200000000001,4.35175385467158
1.0545600000000002,4.2885379198606355
1.0548000000000002,4.175246936486231
1.05504,4.120155988638475
1.05528,4.139281140561679
1.05552,3.9190316903632354
1.05576,3.926008310046745
1.056,3.8035259060850986
1.05624,3.7865943258906487
1.05648,3.669886290505284
1.05672,3.581949645333926
1.0569600000000001,3.476834738551417
1.0572000000000001,3.3374769591184923
1.0574400000000002,3.273942672978662
1.05768,3.2231823413106744
1.05792,3.0372352319995706
1.05816,2.9083383763309136
1.0584,2.867120621653007
1.05864,2.7617500731951945
1.05888,2.713966579703851
1.05912,2.583928577172772
1.05936,2.5431255071527787
1.0596,2.4551832088682723
1.0598400000000001,2.393439990663034
1.0600800000000001,2.334981073420402
1.0603200000000002,2.229808310183007
1.0605600000000002,2.1992157791046267
1.0608000000000002,2.101825855891236
1.06104,2.0553508485908476
1.06128,1.990667254676669
1.06152,1.995723549052041
1.06176,1.9359940397331734
1.062,1.9378478771174823
1.06224,1.880843737149382
1.06248,1.894794564730347
1.06272,1.8431785380832266
1.0629600000000001,1.859066403338288
1.0632000000000001,1.861111700212169
1.0634400000000002,1.9214561488714441
1.06368,1.9294971320095313
1.06392,1.9895596068783443
1.06416,2.0160883084208856
1.0644,2.100026412781168
1.06464,2.154241578725633
1.06488,2.243028753936677
1.06512,2.320442194380375
1.06536,2.3893099870536845
1.0656,2.5238838766188456
1.0658400000000001,2.6383893310200115
1.0660800000000001,2.6948102035715307
1.0663200000000002,2.77849064735738
1.0665600000000002,2.83292397182123
1.0668000000000002,2.8943093728555325
1.06704,2.9333181215144073
1.06728,2.968770929160904
1.06752,2.9847906626295027
1.06776,2.9847906626295027
1.068,3.0007515215314102
1.06824,2.998626793103985
1.06848,3.0060587992529184
1.0687200000000001,3.0071194769524228
1.0689600000000001,3.0081798956657932
1.0692000000000002,3.009240055519473
1.06944,3.009240055519473
1.06968,3.009240055519473
1.06992,3.009240055519473
1.07016,3.009240055519473
1.0704,3.009240055519473
1.07064,3.009240055519473
1.07088,3.009240055519473
1.07112,3.009240055519473
1.07136,3.009240055519473
1.0716,3.009240055519473
1.0718400000000001,3.009240055519473
1.0720800000000001,3.009240055519473
1.0723200000000002,3.009240055519473
1.0725600000000002,3.009240055519473
1.0728000000000002,3.009240055519473
1.07304,3.010299956639812
1.07328,3.012418983185405
1.07352,3.012418983185405
1.07376,3.015595585657176
1.074,3.0198274445245747
1.07424,3.039872652359378
1.07448,3.0566813615623882
1.0747200000000001,3.101535039280838
1.0749600000000001,3.1541399303425246
1.0752000000000002,3.2464493679752926
1.07544,3.3210807981613417
1.07568,3.4253827690537566
1.07592,3.5758888897213756
1.07616,3.695182852306168
1.0764,3.7643266163336064
1.07664,3.856873843585225
1.07688,3.895076723279447
1.07712,3.931232270533341
1.07736,3.9585787273205364
1.0776000000000001,3.969639225540419
1.0778400000000001,3.9764317114905046
1.0780800000000001,3.9772800257463574
1.0783200000000002,3.978128174332011
1.0785600000000002,3.978128174332011
1.0788000000000002,3.978128174332011
1.07904,3.978128174332011
1.07928,3.978128174332011
1.07952,3.978128174332011
1.07976,3.9760091477864172
1.08,3.9717741939461737
1.08024,3.9760091477864172
1.08048,3.9717741939461737
1.0807200000000001,3.9705062476181903
1.0809600000000001,3.9548755546524266
1.0812,3.946450828792223
1.08144,3.9422445865079423
1.08168,3.8825554683009678
1.08192,3.859927108998903
1.08216,3.805659126026149
1.0824,3.743082976270527
1.08264,3.7400200117394853
1.08288,3.7228135150117803
1.08312,3.6739334122773633
1.08336,3.5693491343860413
1.0836000000000001,3.665820206051217
1.0838400000000001,3.5537304290414404
1.0840800000000002,3.4637169444382687
1.0843200000000002,3.403720357887119
1.0845600000000002,3.340937019151149
1.0848000000000002,3.5089430098253285
1.08504,3.127800186990259
1.08528,3.0859057666747907
1.08552,3.0593411769570538
1.08576,3.04222047875687
1.086,3.023748904159002
1.08624,3.0138351174528637
1.0864800000000001,3.0124207077940395
1.0867200000000001,3.0095932696609466
1.08696,3.0124207077940395
1.0872,3.0095932696609466
1.08744,3.0110067586299856
1.08768,3.010299956639812
1.08792,3.011006528644792
1.08816,3.0187712431080116
1.0884,3.03847355410782
1.08864,3.0671630546502184
1.08888,3.164404944732344
1.08912,3.2708450919547793
1.08936,3.419341894638042
1.0896000000000001,3.5379691019847668
1.0898400000000001,3.6124214079542556
1.0900800000000002,3.654051307724402
1.0903200000000002,3.67168456957564
1.0905600000000002,3.6765363447698505
1.0908000000000002,3.678960201296579
1.09104,3.678960201296579
1.09128,3.678960201296579
1.09152,3.678960201296579
1.09176,3.678960201296579
1.092,3.678960201296579
1.09224,3.678960201296579
1.0924800000000001,3.678960201296579
1.0927200000000001,3.678960201296579
1.09296,3.680171622453397
1.0932,3.6831986977965747
1.09344,3.6995085452031162
1.09368,3.7534365330661994
1.09392,3.843021418318168
