Frequency (MHz),SRR (dB)
1.0341600000000002,2.3815013637023283
1.0344,2.3781002102464304
1.03464,2.3718087553956786
1.03488,2.36967683779945
1.03512,2.380949940025739
1.03536,2.3705994658709466
1.0356,2.363316026850453
1.03584,2.3623487487443136
1.0360800000000001,2.372069473705046
1.0363200000000001,2.370468894322462
1.0365600000000001,2.345587102335345
1.0368000000000002,2.3675685740069823
1.03704,2.381112251696622
1.03728,2.360687913998764
1.03752,2.388502962404261
1.03776,2.3587417988873884
1.038,2.405879005826236
1.03824,2.3809164351177796
1.03848,2.3849719329504375
1.03872,2.3981200733123496
1.03896,2.3882976851736912
1.0392000000000001,2.3936673934214645
1.0394400000000001,2.3750216957378485
1.0396800000000002,2.370268877857695
1.0399200000000002,2.420124352759043
1.04016,2.398115115525061
1.0404,2.3643159845614776
1.04064,2.341724843730602
1.04088,2.400483785738517
1.04112,2.378878088585884
1.04136,2.383866192001306
1.0416,2.4187039458032062
1.04184,2.3604126627013216
1.0420800000000001,2.399483990892233
1.0423200000000001,2.4105299060724663
1.0425600000000002,2.408011005775757
1.0428000000000002,2.4172805152163837
1.04304,2.3978622160120695
1.04328,2.403701496660128
1.04352,2.4073409377673016
1.04376,2.400373659449531
1.044,2.4097244200950128
1.04424,2.42032082440753
1.04448,2.392189738512643
1.04472,2.390883937392713
1.04496,2.4131416699368016
1.0452000000000001,2.444063098947094
1.0454400000000001,2.4449167303505868
1.0456800000000002,2.418284262854148
1.0459200000000002,2.413031015486659
1.04616,2.4456259439156542
1.0464,2.4387372806816336
1.04664,2.4369979425301973
1.04688,2.4124245229874526
1.04712,2.4473765793097537
1.04736,2.4433471802956723
1.0476,2.457411408585652
1.04784,2.4372888331893607
1.0480800000000001,2.463627862991296
1.0483200000000001,2.4405143123886535
1.0485600000000002,2.453929268275293
1.0488000000000002,2.460111620146544
1.04904,2.480268360084686
1.04928,2.462393829833503
1.04952,2.468174242075571
1.04976,2.479650219478519
1.05,2.45795550440947
1.05024,2.4835771418738433
1.05048,2.4830876649526386
1.05072,2.4625073267163122
1.0509600000000001,2.4700005726322787
1.0512000000000001,2.481094553691861
1.0514400000000002,2.4926478397991967
1.0516800000000002,2.4501502798341694
1.05192,2.4919835739111287
1.05216,2.484458105325852
1.0524,2.508801390401436
1.05264,2.5039722731911853
1.05288,2.492675275795183
1.05312,2.506748821448105
1.05336,2.5234105478344224
1.0536,2.520231754493828
1.05384,2.5127276324862775
1.0540800000000001,2.5174689490334683
1.0543200000000001,2.513516042321127
1.0545600000000002,2.5209193986832217
1.0548000000000002,2.524425964261341
1.05504,2.5347780337731485
1.05528,2.541477901241194
1.05552,2.5534769133710618
1.05576,2.529879457240009
1.056,2.552911072270492
1.05624,2.544374837310794
1.05648,2.570615113381468
1.05672,2.564206129932093
1.0569600000000001,2.5656417249416688
1.0572000000000001,2.5689073598018752
1.0574400000000002,2.5432643165870306
1.05768,2.5761399320933256
1.05792,2.5587026570074234
1.05816,2.573343415617391
1.0584,2.574951637613866
1.05864,2.5726290932732514
1.05888,2.578612474016533
1.05912,2.5772195770264354
1.05936,2.5901027500264258
1.0596,2.5759637635216217
1.0598400000000001,2.5995262634891017
1.0600800000000001,2.5995163216413033
1.0603200000000002,2.591169319196434
1.0605600000000002,2.5952657759289126
1.0608000000000002,2.595746438445248
1.06104,2.5996548356470632
1.06128,2.6260832210118945
1.06152,2.598451724955204
1.06176,2.616272909113046
1.062,2.631678761031131
1.06224,2.619042351588099
1.06248,2.6211007569856237
1.06272,2.6260339314911296
1.0629600000000001,2.6321739433864035
1.0632000000000001,2.6489675231197793
1.0634400000000002,2.6350763784509605
1.06368,2.6233585861591195
1.06392,2.630483674595662
1.06416,2.6226638913294504
1.0644,2.6284035843896314
1.06464,2.6498230247922394
1.06488,2.6598132714665224
1.06512,2.6542029338598954
1.06536,2.65232455760441
1.0656,2.6519052425747995
1.0658400000000001,2.6493337487039503
1.0660800000000001,2.6699317172174295
1.0663200000000002,2.673479875890111
1.0665600000000002,2.6841325148727257
1.0668000000000002,2.667294677085078
1.06704,2.677316908899627
1.06728,2.678565266685344
1.06752,2.6678058350171137
1.06776,2.6871048581013293
1.068,2.6701830459993845
1.06824,2.6862580331161623
1.06848,2.6935646989379407
1.0687200000000001,2.67843152817348
1.0689600000000001,2.6824328337506276
1.0692000000000002,2.6857708804862304
1.06944,2.6952088836776222
1.06968,2.6998637406673387
1.06992,2.6918549731598196
1.07016,2.694201561645982
1.0704,2.690212453139336
1.07064,2.7110124462733793
1.07088,2.6869068259169375
1.07112,2.689841352484701
1.07136,2.706163929763009
1.0716,2.686005150070228
1.0718400000000001,2.681968942504614
1.0720800000000001,2.684709779313606
1.0723200000000002,2.6879989986530046
1.0725600000000002,2.679980031326684
1.0728000000000002,2.698269270411412
1.07304,2.7027690688730894
1.07328,2.696698808793276
1.07352,2.708921301178159
1.07376,2.68602352294033
1.074,2.7085893467053173
1.07424,2.71131009905544
1.07448,2.697254078614646
1.0747200000000001,2.710921453273849
1.0749600000000001,2.694623364338884
